Spanish,English
hola,hello
adiós,goodbye
bien,good
te amo,I love you
hasta luego,see you later
¿hablas inglés?,do you speak English?
agua,water
café,coffee
leche,milk
pan,bread
manzana,apple
naranja,orange
plátano,banana
carne,meat
pescado,fish
queso,cheese
cerveza,beer
apartamento,apartment
cama,bed
cocina,kitchen
ventana,window
teléfono,phone
lápiz,pencil
tiempo,time
noche,night
mañana,morning
semana,week
mes,month
año,year
feliz,happy
triste,sad
enojado,angry
cansado,tired
grande,big
alto,tall
bajo,short
lindo,pretty
feo,ugly
bueno,good
malo,bad
fácil,easy
limpio,clean
sucio,dirty
viejo,old
lento,slow
